Source,Target,Weight,Type
Arya Stark,Beric Dondarrion,0.6931471805599453,Undirected
Arya Stark,Gregor Clegane,1.791759469228055,Undirected
Arya Stark,Lyanna Stark,5.863631175598097,Undirected
Arya Stark,Sandor Clegane,7.478734825567875,Undirected
Beric Dondarrion,Brienne of Tarth,1.0986122886681098,Undirected
Beric Dondarrion,Gregor Clegane,0.0,Undirected
Beric Dondarrion,Jaime Lannister,1.6094379124341003,Undirected
Beric Dondarrion,Jorah Mormont,1.791759469228055,Undirected
Beric Dondarrion,Lyanna Stark,0.0,Undirected
Beric Dondarrion,Sandor Clegane,1.0986122886681098,Undirected
Brienne of Tarth,Gregor Clegane,1.3862943611198906,Undirected
Brienne of Tarth,Lyanna Stark,0.6931471805599453,Undirected
Brienne of Tarth,Sandor Clegane,7.491645473605133,Undirected
Gregor Clegane,Jaime Lannister,2.4849066497880004,Undirected
Gregor Clegane,Jorah Mormont,0.0,Undirected
Gregor Clegane,Lyanna Stark,0.0,Undirected
Jaime Lannister,Lyanna Stark,4.23410650459726,Undirected
Jaime Lannister,Sandor Clegane,2.1972245773362196,Undirected
Jorah Mormont,Lyanna Stark,1.791759469228055,Undirected
Jorah Mormont,Sandor Clegane,0.6931471805599453,Undirected
Lyanna Stark,Sandor Clegane,0.0,Undirected
Brienne of Tarth,Little Sam,1.791759469228055,Undirected
Jaime Lannister,Stannis Baratheon,0.6931471805599453,Undirected
Khal Drogo,Stannis Baratheon,0.0,Undirected
Robb Stark,Stannis Baratheon,0.0,Undirected
Jon Snow,Melisandre,2.3978952727983707,Undirected
Jon Snow,Shireen Baratheon,0.0,Undirected
Melisandre,Shireen Baratheon,0.0,Undirected
Gendry,Little Sam,0.6931471805599453,Undirected
Bran Stark,Ramsay Bolton,0.6931471805599453,Undirected
Aerys 'The Mad King' Targaryen,Jon Snow,6.295266001439646,Undirected
Aerys 'The Mad King' Targaryen,Rhaegar Targaryen,1.791759469228055,Undirected
Aerys 'The Mad King' Targaryen,Viserys Targaryen,1.0986122886681098,Undirected
